,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientists Decisions Science Support,-1,"Skills Required:
1+ years of experience in mathematical programming, data mining, statistical analysis, and/or machine learning
Strong oral, written and interpersonal communication skills.

Skills Preferred:
Developed and implemented Machine Learning models
Ability to drive results and handle multiple projects within a given timeframe.
Well-organized, independent and ready to work with minimal supervision.
Inquisitive, proactive, and interested in learning new tools and techniques.",3.1,"Advantage Resourcing
3.1","Dearborn, MI",-1,10000+ Employees,1969,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1
1,"Assistant Manager, Digital Data Science",-1,"Assistant Manager, Digital Data Science
New York, NY
$140,000 - $160,000 - Dependent on experience
Are you passionate about healthcare? Join a leading life science company with a focus in the healthcare field looking to improve the world's quality of life.
THE COMPANY
As an Assistant Manager of Digital Data Science, you will be joining a highly established Analytics team. Their mission is to improve quality of life globally through the use of their products. They emphasize their company culture where employees are encouraged to have the power to make a change and impact.",3.1,"Harnham
3.9","New York, NY",-1,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
2,"Marketing Analytics Manager, eCommerce",-1,"Marketing Analytics Manager, eCommerce
Juvo+ - Monrovia, CA
Juvo+ is looking to hire a marketing analytics manager to support Marketing team by providing analysis & planning across business platforms. The goal of this role is to provide strategic reporting, insights and analyses to be used in marketing projects. The ideal candidate with be a person with strong data and analytical mind with a background in online/ecommerce business and knowledge of online marketing.
As a Marketing Analytics Manager within the ecommerce space, you will be working with large amount of data, analyzing data from different perspectives, and providing meaningful insights to drive business growth. If you are passionate about data and analytics, we would love to have you join us in our fun, fast paced environment.",3.1,"Juvo Plus, Inc.
3.1","Monrovia, CA",-1,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
3,Customer Care Specialist-Bilingual,-1,"Our Mission
We make good things happen by recognizing and rewarding people for taking the high road. How? By reinventing insurance that celebrates people’s mindful choices.

Insurance was fundamentally a brilliant idea, but it always had a key challenge—it couldn’t identify and acknowledge the positive decisions that individuals made along the way. But when we apply smart mobile technologies, we can. And that’s what we do. We help our customers save on their monthly bill. But more importantly, they join a growing movement of people who dare to live more mindfully because doing so is simply better for everyone.

We’re a well-funded, elite team of people who care about using our skills to do good. From customer care to data science, design, engineering, insurance, product, research, user experience and beyond—we believe in people who believe they can make the world even better. Join us, and let’s build the higher path that is HiRoad.",3.1,"HiRoad
5.0","Providence, RI",-1,1 to 50 Employees,-1,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
4,Senior Engineer/Data Scientist - Industry 4.0,-1,"Friday, October 30, 2020


Watlow Profile: The world’s leading companies start with Watlow for their thermal solutions. Watlow®, a privately-owned company, is the industry leader in the design, manufacture and integration of complete thermal systems including electric heaters, temperature sensors, temperature controllers, power controllers and supporting software. At Watlow, we are constantly driven to do more to help our customers. We take on big technical challenges. We are committed to projects that help our fellow human beings and we strive to learn more. From single components to high performance systems, we bring our thermal expertise to numerous applications, including semiconductor processing, energy processes, diesel, foodservice equipment, life sciences and others.

Overview of Role

The Sr. Engineer/Data Scientist will be responsible for applying expertise in data science and analytics to improve the customer’s thermal system performance, focused on integration into Industry 4.0 technologies. The Sr. Engineer/Data Scientist will actively collaborate with customers and Watlow’s internal subject matter experts while expanding Watlow’s technical expertise in successful deployment of advanced alarming algorithms. The role will be located in St. Louis, Missouri at Watlow’s Global headquarters and Advanced Technology Center",3.1,"Watlow Electric Manufacturing
3.4","Saint Louis, MO",-1,1001 to 5000 Employees,1922,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$100 to $500 million (USD),-1
5,Web Data Analyst (South of Milwaukee),-1,"Web Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities













#LI-SR1
#CORP",3.1,"Uline
3.7","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
6,Data Analyst for Corporate Travel Tech Developer,-1,"Trondent Development Corp., a leading provider of web-based software applications and data management services to the global travel industry, is looking for a Data Analyst to join our ProFILER Express Services team. The successful candidate will have a team mentality and will be self-reliant, proficient at time management, and possess effective written and oral communication skills.
Job Requirements
Minimum of 3 years of experience as a Data Analyst on full-time basis.
Database skills, MS Access, MS SQL: Queries, Stored Procedures and Transactions.
Programming experience; knowledge of Python, XML, XSLT, ETL; PHP is a plus.
Self-motivated; seeks knowledge independently.",3.1,Trondent Development Corp,"Barrington, IL",-1,-1,-1,-1,-1,-1,-1,-1
7,Internal Auditor,-1,"Position Description:
Mathematica applies expertise at the intersection of data, methods, policy, and practice to improve well-being around the world. We collaborate closely with public-and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and enhance understanding using data science and analytics. Our work yields actionable information to guide decisions in wide-ranging policy areas, from health, education, early childhood, and family support to nutrition, employment, disability, and international development. Mathematica offers our employees competitive salaries, and a comprehensive benefits package, as well as the advantages of being 100 percent employee owned. As an employee stock owner, you will experience financial benefits of ESOP holdings that have increased in tandem with the company’s growth and financial strength. You will also be part of an independent, employee-owned firm that is able to define and further our mission, enhance our quality and accountability, and steadily grow our financial strength.

As an , you will work in collaboration with the . You will support the Internal Audit Group in completing the requirements noted in the internal audit plan, which is based on an assessment of company risk. Plan and execute operational, compliance, and financial audits of functions;contract cost allowability; significant transactions; operations; and fraud prevention.",3.1,"Mathematica Policy Research
3.9","Princeton, NJ",-1,1001 to 5000 Employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
8,Data Engineer,-1,"Comlinkdata is looking for a Data Engineer. If you have experience in building data pipelines and a desire to evolve your skills in Big Data and contribute directly to the evolution of a fast growing company we want to hear from you. The perfect candidate will have strong fundamentals in engineering, a desire to learn, and a passion for problem solving.
Responsibilities include:
Process Terabytes of data securely and efficiently utilizing S3 data lake, Spark, EMR, Hbase, Scala and SparkSQL
Maintain existing pipelines, incorporating new business rules and integrating new datasets.
Collaborate and support our data science and product development teams to support new product development activities.",3.1,"Comlinkdata
4.5","Boston, MA",-1,51 to 200 Employees,2010,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
9,Business Intelligence Analyst,-1,"Business Intelligence Analyst

Job Details
Job Location
Oklahoma City, Oklahoma - Oklahoma City, OK
Position Type
Full Time
Education Level
4 Year Degree
Job Shift
Day
Job Category
Marketing
Description",3.1,"APMEX
3.6","Oklahoma City, OK",-1,201 to 500 Employees,2000,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1
10,Sr. Software Engineer/Integrator,-1,"TITLE: Sr. Software Engineer/Integrator

DIVISION: SPI/DAS

REPORTS TO:
FLSA: Exempt

SUPERVISES: None

Division: Braxton Technologies, LLC

Location: Colorado Springs, CO

Shift & Travel

M-F, Days

10% (or less) travel required

The SPI Sr. Software Engineer / Integrator will directly support the US Air Force Space and Missile Center (SMC) Enterprise Ground Service (EGS) SATOPS, Prototyping, and Integration (SPI) program and its goal to deploy a universal command and control architecture aimed at eliminating restrictions by continuously delivering enterprise tactical command and control services and applications that, when integrated with mission partner unique services and applications through the use of system engineering principles, will fully enable today's modern warfighter.

Responsibilities - Essential Functions

Required Education and Experience

Required Skills/Abilities – Competencies

Preferred Experience and Qualifications

Has the ability to obtain a DoD Secret and is clearable to TS/SCI

Physical Requirements

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to sit; use hands and fingers to handle or feel; reach with hands and arms; and talk or hear. The employee is required to stand and walk. Specific vision abilities required by this job include close vision and ability to adjust focus. Some research may be involved which would require the employee to be mobile to access copy machines and various files located throughout the buildings.

Affirmative Action/EEO statement

Each Division of BSTG is an Equal Opportunity/Affirmative Action Employer. All divisions are committed to making employment decisions based on valid requirements, without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, veteran status, disability or any other status protected by state, local or federal law.

Other duties

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

#BSTGSP",3.1,"Braxton Science & Technology Group
1.6","Colorado Springs, CO",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
11,Electrical Engineer,-1,"Job Description
The Electrical Engineer will work under the direction of senior level engineers in the Sensors group. Tasking may include data collection, data processing, lab testing of electronics, documentation of test results, soldering/rework of prototype electronics, field test and data collection, embedded firmware development, test software development, and circuit card design.
Qualifications Required (Skills)
BS in Electrical Engineering, Computer Engineering; with 2 years experience, or equivalent
Ability to document test planning, configuration, and results",3.1,"ENSCO, Inc.
3.7","Springfield, VA",-1,501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
12,Senior Product Designer (remote),-1,"Rue Gilt Groupe is investing substantial resources to build our product, engineering and design team up to revolutionize our product with data science and new technologies as more people shop online than ever before. We need an outstanding Senior Product designer who will take our customer experience to the next level. This person will work remotely with dedicated teams of engineers, creatives and product managers to design and execute new features and optimized improvements of our mobile first ecommerce platform.
As a Senior Product Designer at RGG, you will play a key role in developing customer experiences through your work in Figma, creating, testing and revising our products to be best in class in ecommerce fashion. You will be the advocate and hands on leader for conducting user research to inform design decisions and measure the usability and effectiveness of each iteration. This role is perfect for you if you are passionate about developing and iterating on great customer experiences, appreciate working in remote, collaborative environments, and have an understanding of mobile first development. You should have a keen interest and experience in the competitive landscape of ecommerce and a thorough understanding of contemporary user-centered research, discovery processes and design systems is a must.",3.1,"RUE GILT GROUPE
2.9","Boston, MA",-1,501 to 1000 Employees,-1,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1
13,"Senior Manager, Customer Journey Management, Latin America and Asia",-1,"Senior Manager, Customer Journey Management, Latin America and Asia – Miramar, FL or Remote

Come Build The World With Us

This is the career you’ve been waiting for your whole life. Joining the Stanley Black & Decker team means working in an innovative, tech-driven and highly collaborative team environment supported by over 58,000 professionals in 60 countries across the globe. Here, you’ll get the unique chance to impact some of the world’s most iconic brands including STANLEY TOOLS, DEWALT, CRAFTSMAN, MAC TOOLS and Black & Decker. Your ideas and solutions have the potential to reach millions of customers as we work together to write the next chapter in our history. Come build with us and take your career to new heights.


We’re the World’s largest tool company. We’re industry visionaries. We’re solving problems and advancing the manufacturing trade through innovative technology and our Industry 4.0 Initiative. We are committed to ensuring our state-of-the-art “smart factory” products and services provide greater quality to our customers & greater environmental and social value to our planet. We are unique in that we have a rich and storied history dating back to 1843, but that hasn't stopped us from evolving into a vibrant, diverse, global growth company.


You’re a curious problem solver who has the ability to bring big ideas to life. You’re creative and scrappy but can navigate a large organization with ease. You’re agile and adaptable but work with precision to ensure we deliver top-notch customer experiences, always. You will be responsible for defining and executing on an omni-channel, customer centric engagement strategy. You and your team will be tasked with enriching our consumer data profiles and delivering extraordinary customer experiences across all brands within our Global Tools & Storage business, supporting our Latin American and Asian Markets.




As a Customer Journey Management, Senior Manager you’ll be part of our Global Customer Experience (GCX) team located in Towson, MD. This dynamic marketing organization includes our Insights, Brand, Studio (Creative Services) and Industrial Design teams, all focused on helping drive sales growth for a $10B business. Specifically, you’ll:



You’ll get a competitive salary and a comprehensive benefits plan that includes medical, dental, life, vision, wellness program, disability, 401k, Employee Stock Purchase Plan, Paid Time Off, including paid vacation, holidays & personal days, and tuition reimbursement. And, of course, discounts on Stanley Black & Decker tools and products and well as discount programs for many other vendors and partners.



Stanley Black & Decker is one of the world's largest, fastest growing and most dynamic companies. Stanley Black and Decker, a Fortune 200 company is a world-leading provider of tools and storage, commercial electronic security and engineered fastening systems, with unique growth platforms and a track record of sustained profitable growth.

#LI-JF1

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran’s status or any other protected characteristic.",3.1,"Stanley Black & Decker
3.5","Miramar, FL",-1,10000+ Employees,1843,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
14,Market Data Analyst,-1,"We are seeking a creative, data driven Marketing Analyst to join our fast paced, growing organization. Candidate is responsible for researching product and manufacturing trends, evaluating campaign results and making recommendations for growth and operating efficiency improvements to our management team. The ideal candidate will have experience with complex data mining/analysis and implementation. This is a growth position with upward mobility. Complete benefit package includes medical, dental, vision life insurance, student loan repayment assistance and a 401(k) company matched contribution.

Responsibilities:
Evaluate market trends and patterns to suggest new & complementary products
Manage Distribution Price List and analyze market data to identify cause and effect relationships
“An Equal Opportunity Employer” Minority/Female/Disabled/Vet/Sexual Orientation/Gender Identity or National Origin"" Drug free workplance.

ITAR - The candidate must be able to legally work in the United States; we are unable to provide sponsorship. Position requires candidate to be a US Person as defined in ITAR, 22 CFR 120.15 (US Citizenship or Resident Alien Status) and defined by 8 USC 1101(a) (20).",3.1,"SV Microwave
3.7","West Palm Beach, FL",-1,201 to 500 Employees,1991,Company - Public,Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD),-1
